image_name,concept,explanation
0ab2de6e9d9a397b4c853f26672d11,act fast,you need to act fast because of time
0ab2de6e9d9a397b4c853f26672d11,advancement,"player is moving forward on the board, suggesting a focus on winning."
0ab2de6e9d9a397b4c853f26672d11,complexity,the image conveys a chess problem that is complex in nature and requires the player to think hard
0ab2de6e9d9a397b4c853f26672d11,curiosity,players may feel intrigued to discover the wining idea.
0ab2de6e9d9a397b4c853f26672d11,domination,it shows that the white chess player is dominating the game.
0ab2de6e9d9a397b4c853f26672d11,duality,the image conveys two different coloured pieces each with its own intent
0ab2de6e9d9a397b4c853f26672d11,game,the images display is a chess game
0ab2de6e9d9a397b4c853f26672d11,happy,"white is about to take a good piece, symbolising hope for a win."
0ab2de6e9d9a397b4c853f26672d11,king and queen,it shows that the players already have kings and queens which shows the two chess players are professional
0ab2de6e9d9a397b4c853f26672d11,relief,solving the puzzle brings a sense of accomplishment.
0ab2de6e9d9a397b4c853f26672d11,structure,the image conveys a game that is contained within a certain space and set of rules
0ab2de6e9d9a397b4c853f26672d11,tension,"the board is in a critical position, requiring careful calculation and goos strategy."
0ab2de6e9d9a397b4c853f26672d11,tension,the arrangement of the piece create tension
0ab2de6e9d9a397b4c853f26672d11,thinking,the image show a very hard chess position that needs analysis.
0ab2de6e9d9a397b4c853f26672d11,winning,"white has more pieces on the board, suggesting they are more successful."
0d43ec1d11b7365a2025297921bf45,celebration,formal attire and posed photo shows a military social event celebrating members
0d43ec1d11b7365a2025297921bf45,celebration,a couple celebrating a trememdous achievemnt at an events banquet for the military.
0d43ec1d11b7365a2025297921bf45,celebratory,the formal dress and the background of the image makes it seem like a celebration is taking place
0d43ec1d11b7365a2025297921bf45,comfort,the couple in the image are not troubled by the presence of each other.
0d43ec1d11b7365a2025297921bf45,content,the couple are pleased to be with each other.
0d43ec1d11b7365a2025297921bf45,contrived,the slightly fixed nature of the smile in combination with the pose makes the photo seem to be slightly manufactured
0d43ec1d11b7365a2025297921bf45,excitement,a couple seemingly smitten with one another happily poses for a photograph.
0d43ec1d11b7365a2025297921bf45,formality,the smart appearance and dress of both of male and female in this picture conveys an air of formality
0d43ec1d11b7365a2025297921bf45,glad,the smiles on their faces shows they are happy.
0d43ec1d11b7365a2025297921bf45,happiness,this image conveys a happy moment between two people
0d43ec1d11b7365a2025297921bf45,love,warm embrace and happy expressions show love between the two individuals
0d43ec1d11b7365a2025297921bf45,patriotism,this image conveys two people who seem to be proud of where they come from and where they are going
0d43ec1d11b7365a2025297921bf45,pregnancy,a couple is holding the wife's stomach after announcing to friends that they are expecting a child.
0d43ec1d11b7365a2025297921bf45,reuniting,this image shows two people who seem to be reuniting with one another after not seeing each other for some time
0d43ec1d11b7365a2025297921bf45,service,uniform with medals show service to the military
0f932b0bd1c57f480fadf45fb73c7e1,age,the person looks very old
0f932b0bd1c57f480fadf45fb73c7e1,aged,the person seen looks old with face filled with wrinkles.
0f932b0bd1c57f480fadf45fb73c7e1,aging,an old woman's weathered face stares into the distance.
0f932b0bd1c57f480fadf45fb73c7e1,blindfold,it does appear that he/she might have lost sight in one of their eyes hence the blindfold over one eyes.
0f932b0bd1c57f480fadf45fb73c7e1,disappointment,the expression of disappointment can be seen on the mans face
0f932b0bd1c57f480fadf45fb73c7e1,downcast,image is portraying a person looking sad and hopeless.
0f932b0bd1c57f480fadf45fb73c7e1,dull,the image is black and white showing dullness
0f932b0bd1c57f480fadf45fb73c7e1,elderly,an old wrinkled woman looks longingly at the camera.
0f932b0bd1c57f480fadf45fb73c7e1,injury,it appears the person has an injury on the head.
0f932b0bd1c57f480fadf45fb73c7e1,old,the person appears to be well advanced in age.
0f932b0bd1c57f480fadf45fb73c7e1,pain,the man seems to be blind in one eye as shown by the cloth
0f932b0bd1c57f480fadf45fb73c7e1,poverty,an old woman in rags stares into the camera.
0f932b0bd1c57f480fadf45fb73c7e1,poverty,image showing someone experiencing a form of suffering and looking really unkept.
0f932b0bd1c57f480fadf45fb73c7e1,sadness,the facial expression shows sadness or unhappiness.
0f932b0bd1c57f480fadf45fb73c7e1,wrinkled,this shows that wrinkled is a natural part of the aging process.
1177bbe6d625aa1f4d862dd96931b22,appetite,all the foods look appetizing and will give the desire to satisfy.
1177bbe6d625aa1f4d862dd96931b22,comfort,these are types of comfort foods.
1177bbe6d625aa1f4d862dd96931b22,enjoyment,the sharing style of food looks like everyone would gather round together
1177bbe6d625aa1f4d862dd96931b22,happy,feeling full and with friends of family make me good
1177bbe6d625aa1f4d862dd96931b22,hungry,looking at these foods make me feel hungry.
1177bbe6d625aa1f4d862dd96931b22,important,the need for food is paramount
1177bbe6d625aa1f4d862dd96931b22,party,"the layout of the food implies people all gathering,"
1177bbe6d625aa1f4d862dd96931b22,party,lots of different food so must be a get together.
1177bbe6d625aa1f4d862dd96931b22,satisfaction,"all the foods are eatable, and will provide you satisfaction."
1177bbe6d625aa1f4d862dd96931b22,satisfied,after eating going to feel full and happy.
1177bbe6d625aa1f4d862dd96931b22,setting,the person serving these meals did a great job.
1177bbe6d625aa1f4d862dd96931b22,style,the presentation of the food makes all the difference
1177bbe6d625aa1f4d862dd96931b22,summer,"the look of the food options look like there could be a bbq outside,"
1177bbe6d625aa1f4d862dd96931b22,variety,the variety in how many different ways a vegetable can be used
1177bbe6d625aa1f4d862dd96931b22,warming,the thought of eating a hot jacket potato or mashed potato gives me a warming feeling.
11fa5bb2268e673b8ece22fe4fdf1f,authority,the formal environment and ornate decorations reflect a sense of power and governance.
11fa5bb2268e673b8ece22fe4fdf1f,ceremony,there seems to be a ceremony
11fa5bb2268e673b8ece22fe4fdf1f,dignity,interaction reflects leadership
11fa5bb2268e673b8ece22fe4fdf1f,loyalty,they will do what is required for who they represent.
11fa5bb2268e673b8ece22fe4fdf1f,marriage,the two above are married
11fa5bb2268e673b8ece22fe4fdf1f,power,unity and control
11fa5bb2268e673b8ece22fe4fdf1f,royalty,the couple above are royalty
11fa5bb2268e673b8ece22fe4fdf1f,royalty,a king and queen shown.
11fa5bb2268e673b8ece22fe4fdf1f,stability,can be relied on and have always been around.
11fa5bb2268e673b8ece22fe4fdf1f,support,the scene emphasizes collaboration and support
11fa5bb2268e673b8ece22fe4fdf1f,support,the act of one figure holding the hand of the other suggests mutual care or assistance in a symbolic or physical sense.
11fa5bb2268e673b8ece22fe4fdf1f,tradition,"the ceremonial attire, setting, and regalia signify a deep connection to cultural and historical practices."
11fa5bb2268e673b8ece22fe4fdf1f,unity,hand in hand shows a sign of unity
11fa5bb2268e673b8ece22fe4fdf1f,unity,walking in oneness.
11fa5bb2268e673b8ece22fe4fdf1f,wealth,goldish ornaments shown.
123137a135234466788c30506c814e7b,concern,the image makes me concerned if the man will be okay and survive whatever battle he may face.
123137a135234466788c30506c814e7b,conflict,the battered setting of this image and the prepared soldier conveys a sense of conflict and warefare in the environment.
123137a135234466788c30506c814e7b,courage,the man's gaze and composed posture shows courage as he goes and faces dangerous circumstances.
123137a135234466788c30506c814e7b,determination,the soldiers expressiona nd stance suggest a determination to fight.
123137a135234466788c30506c814e7b,duty,"the image conveys duty through the man's military uniform and gear, which shows his sense of responsibility with his roles a soldier."
123137a135234466788c30506c814e7b,fear,war means injuries and casualties which is unpleasant and scary.
123137a135234466788c30506c814e7b,fear,there is also a suggestion of fear in the eyes of the soldier.
123137a135234466788c30506c814e7b,hatred,there seems an underlying hatred of his enemy and the importance of beating them.
123137a135234466788c30506c814e7b,patriotism,the man is supposedly fighting for his country despite imminent danger
123137a135234466788c30506c814e7b,prepared,the man seems very well equipped for whatever he is about to face.
123137a135234466788c30506c814e7b,strife,the man wears a gaunt expression due to the hardships of the war
123137a135234466788c30506c814e7b,tired,the soldier is protecting his country and the effects of war has depleted him mentally and physically.
123137a135234466788c30506c814e7b,uncertainty,"the situation is serious and risky, the outcome is unknown and dangerous."
123137a135234466788c30506c814e7b,war,the man is fighting a conflict
123137a135234466788c30506c814e7b,war,the image gives a sense of war because the man has a weapon and gear fit for war
1275ce6ef9a19db0c060325cc2fd4be,age,the yellowing colours and the wooden case bring a sense of the image/display being quite aged.
1275ce6ef9a19db0c060325cc2fd4be,awareness,the place seems to be raising awareness for diabetes
1275ce6ef9a19db0c060325cc2fd4be,awareness,a collection of informative literature to raise awareness
1275ce6ef9a19db0c060325cc2fd4be,danger,the red in the image center conveys a sense of danger.
1275ce6ef9a19db0c060325cc2fd4be,education,the books scattered in the image convey learning resources to educate.
1275ce6ef9a19db0c060325cc2fd4be,health awareness,the image conveys a bid to raise awareness on a health issue.
1275ce6ef9a19db0c060325cc2fd4be,information,leaflets and books to inform people about this condition
1275ce6ef9a19db0c060325cc2fd4be,informative,"there are a lot of books arranged in the case around a central topic, indicating it may be an informative display."
1275ce6ef9a19db0c060325cc2fd4be,medical,a presentation of info about a medical condition
1275ce6ef9a19db0c060325cc2fd4be,museum,the sticker on the top left is used in museums to describe a piece of art
1275ce6ef9a19db0c060325cc2fd4be,negativity,"the topic displayed is often seen in a negative light, and the choice of color around the central word is red, which is often associated with negative things."
1275ce6ef9a19db0c060325cc2fd4be,old,no one goes to the library anymore and books are outdated
1275ce6ef9a19db0c060325cc2fd4be,place,this could be a hospital
1275ce6ef9a19db0c060325cc2fd4be,vintage,the wooden cabinet is very polished and old
1275ce6ef9a19db0c060325cc2fd4be,warning,health warnings give me the feelings of anxiousness
14712d6b3226833072d45c4e2a963f0,abandoned,this looks like a door lock abandoned for so many years
14712d6b3226833072d45c4e2a963f0,bondage,this indicates being locked in a place and not making any progress
14712d6b3226833072d45c4e2a963f0,captivity,"the image shows a locked door, indicating something inside is being kept confined"
14712d6b3226833072d45c4e2a963f0,decay,the rust chain indicate safeguarding.
14712d6b3226833072d45c4e2a963f0,decay,"the peeling white pain and rust in the photo show that the objects in this picture are not new, but rather are beginning to decline in function and aesthetic."
14712d6b3226833072d45c4e2a963f0,forgotten,"the state that the object is in implies that is has not been used or cared for recently, but rather forgotten by those who used it."
14712d6b3226833072d45c4e2a963f0,neglect,the worn and rusted chain indicate neglect.
14712d6b3226833072d45c4e2a963f0,obstruction,the barring of a door with a large metal strike implies that it is blocking whatever is inside.
14712d6b3226833072d45c4e2a963f0,old,"the lock and chain are rusty and worn out, indicating they have been used for a prolonged period."
14712d6b3226833072d45c4e2a963f0,protection,the chain and lock makes me think of protection.
14712d6b3226833072d45c4e2a963f0,rigid,seems very unforgiving this chain.
14712d6b3226833072d45c4e2a963f0,rustic,old and rusty it feels like it has been here for awhile.
14712d6b3226833072d45c4e2a963f0,safety,the lock gives a feeling of safety and security
14712d6b3226833072d45c4e2a963f0,scared,"the cracks in the door are dark, therefore thoughts about being in the enclosed dark space bring up fear and the unknown."
14712d6b3226833072d45c4e2a963f0,symbolism,the chain metaphorically represent limitation.
14954c78a29396dac747e83d528592,activity,the people in the picture appear to be involved in something
14954c78a29396dac747e83d528592,atmosphere,"the atmosphere is generally busy however my feeling of this is different as it doesn't show the overall whole experience, just a small portion of the action."
14954c78a29396dac747e83d528592,competition,the image represents competition since they're playing a competitive sport and might make people feel motivated to be the best among their peers
14954c78a29396dac747e83d528592,competition,"always looking to achieve first place, never giving in and enjoying the battle and the challenge a sporting event can bring."
14954c78a29396dac747e83d528592,competition,the feeling of excitement is produced due to the photo showing competition
14954c78a29396dac747e83d528592,defense,"i feel a sense of strong defense here, always looking to push yourself to the limit and always looking to defend your goal."
14954c78a29396dac747e83d528592,dynamic,the image feels dynamic and full of life as the people are in movement during a high intensity sport
14954c78a29396dac747e83d528592,even,counting up by 2's it is noticed that there is a number pattern inervertabily.
14954c78a29396dac747e83d528592,excitement,a feeling of excitement due to the scene and what could follow.
14954c78a29396dac747e83d528592,fun,the feeling of fun is what this photo is producing
14954c78a29396dac747e83d528592,health,the people are engaging in a healthy sport activity that might make people feel like they want to get up and do something to get their blood pulsing
14954c78a29396dac747e83d528592,sport,the picture shows a group of people playing a game
14954c78a29396dac747e83d528592,strength,always looking to find strength in the face of adversity.
14954c78a29396dac747e83d528592,stress relief,the photo shows a hobbies and a sport that can produce a stress relief effect
14954c78a29396dac747e83d528592,team,the people playing the game have different coloured shirts representing their group
14ce2e5a40cdb49593f5181eebae144,boat cruise,the image shows different people in a boat having fun.
14ce2e5a40cdb49593f5181eebae144,business opportunity,if you gather the founds you can buy a boat and take people into small trips around the canals in order to make money
14ce2e5a40cdb49593f5181eebae144,busy,crowded environments could result in noise and distractions
14ce2e5a40cdb49593f5181eebae144,carnival,the bright colours of the boats makes you feel happy and looks like a celebration.
14ce2e5a40cdb49593f5181eebae144,colorful,nice bright colours which brighten the day and mood and bring a sense of ambiance
14ce2e5a40cdb49593f5181eebae144,communion,people gathering together to have fun
14ce2e5a40cdb49593f5181eebae144,community,the boats appear to be joining others ready for an event to take place.
14ce2e5a40cdb49593f5181eebae144,congestion,the floats appear to be stuck in a queue and unable to pass
14ce2e5a40cdb49593f5181eebae144,eating,this shows people eating food in a boat
14ce2e5a40cdb49593f5181eebae144,enjoyable,an opportunity to socialize and have fun conversations
14ce2e5a40cdb49593f5181eebae144,happiness,the bright colours and carnival theme suggest a celebration or party
14ce2e5a40cdb49593f5181eebae144,nature,the body of water is providing the venue for the activities
14ce2e5a40cdb49593f5181eebae144,overcrowded,the canal looks overcrowded by the big number of boats and people riding the boats
14ce2e5a40cdb49593f5181eebae144,party,the image represents people hanging out (eating and drinking)
14ce2e5a40cdb49593f5181eebae144,summer,the brightness of the sky makes you feel warm and gives thoughts of the summer months.
14ff527f68ab1dfb73ee275470f24d99,anticipation,there is a level of slight anticipation for the tour to start
14ff527f68ab1dfb73ee275470f24d99,engineering,about structures and how they won't collapse
14ff527f68ab1dfb73ee275470f24d99,foreboding,getting ready for the inevitable nature disaster
14ff527f68ab1dfb73ee275470f24d99,horrifying,that you need to get ready for a nature disaster
14ff527f68ab1dfb73ee275470f24d99,information,the image displays various items of information relevant to the attendees
14ff527f68ab1dfb73ee275470f24d99,metal,something made of metal is placed beside the screen
14ff527f68ab1dfb73ee275470f24d99,projection,light appears to hit a surface to present information to customers
14ff527f68ab1dfb73ee275470f24d99,questioning,is this a virtual tour?
14ff527f68ab1dfb73ee275470f24d99,screen,shows a large screen with a message on it
14ff527f68ab1dfb73ee275470f24d99,stress,the countdown formalizes this tour and makes the start a bit stressful
14ff527f68ab1dfb73ee275470f24d99,time,there is a countdown timer showing the time left until the next tour
14ff527f68ab1dfb73ee275470f24d99,tour,a sign suggests a tour around a facility
14ff527f68ab1dfb73ee275470f24d99,tour,show these structures to the general public who are probably waiting
14ff527f68ab1dfb73ee275470f24d99,waiting,one must wait for the next occurrence of something
14ff527f68ab1dfb73ee275470f24d99,wall,the screen is visibly placed on a wall
1535c3eb27d8c9aeb890fc538826bd,confusion,the bird almost looks confused by the leaf
1535c3eb27d8c9aeb890fc538826bd,farming,chicks are signs of livestock keeping
1535c3eb27d8c9aeb890fc538826bd,feeding,the chicks are feeding
1535c3eb27d8c9aeb890fc538826bd,feeling,love and intensity of excitement
1535c3eb27d8c9aeb890fc538826bd,freedom,it looks as though they are not in any sort of enclosure and so are free
1535c3eb27d8c9aeb890fc538826bd,green,the colours of green make the grass look healthy
1535c3eb27d8c9aeb890fc538826bd,habitat,it looks like its natural habitat
